epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1397.09,0.94547,0.70678,0.9671,0.73757,0.71397,0.75331,0.55159,0.90216,0.58161,0.923,0.00999919,0.00333306,0.00999919,0.00333306,0.00999919,0.00333306,0.00999919,0.00333306
2,2428.24,0.94721,0.71082,0.96388,0.73547,0.7057,0.75171,0.55292,0.90006,0.57613,0.92309,0.0190092,0.00633641,0.0190092,0.00633641,0.0190092,0.00633641,0.0190092,0.00633641
3,3389.4,0.9693,0.75239,0.97314,0.7467,0.70366,0.75192,0.55093,0.89932,0.57764,0.92262,0.0270293,0.00900976,0.0270293,0.00900976,0.0270293,0.00900976,0.0270293,0.00900976
4,4334.58,0.98282,0.77515,0.97834,0.72649,0.71799,0.75344,0.5535,0.89629,0.57486,0.92167,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,5279.67,0.96931,0.74959,0.97174,0.73327,0.72807,0.76505,0.56152,0.89316,0.56435,0.91963,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,6222.11,0.95895,0.73082,0.96766,0.73576,0.72796,0.76732,0.56507,0.89117,0.55761,0.91879,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,7173.52,0.94964,0.71384,0.96388,0.74287,0.73063,0.77139,0.56854,0.88947,0.55305,0.91793,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,8116.99,0.9425,0.70138,0.96115,0.75102,0.7278,0.775,0.57193,0.88786,0.54883,0.91701,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,9059.22,0.93486,0.69001,0.95701,0.73727,0.73891,0.77682,0.5737,0.88688,0.54546,0.91633,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,10001.7,0.93181,0.67997,0.95664,0.73679,0.74795,0.7802,0.57669,0.88572,0.54286,0.91591,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,10930.6,0.90955,0.62507,0.94078,0.73857,0.75037,0.78198,0.57887,0.88427,0.54027,0.91543,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,11847.7,0.90097,0.61178,0.93526,0.7419,0.75412,0.78461,0.58146,0.88311,0.53767,0.91485,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,12766.3,0.89506,0.60035,0.93293,0.74157,0.75753,0.78635,0.58384,0.8818,0.53527,0.91424,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,13683.8,0.88857,0.58962,0.93108,0.74215,0.76084,0.78775,0.58632,0.88053,0.5327,0.91368,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,14602.9,0.8827,0.5789,0.9272,0.74976,0.75551,0.79006,0.58927,0.87956,0.53011,0.91315,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,15518.7,0.87696,0.56879,0.92606,0.7574,0.75251,0.79247,0.59153,0.87893,0.52765,0.91272,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,16437.3,0.86955,0.55554,0.92302,0.75457,0.75987,0.79473,0.59347,0.87814,0.52534,0.91219,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,17356.3,0.86401,0.54434,0.91979,0.75912,0.75967,0.79614,0.59523,0.87739,0.52308,0.91148,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,18278.1,0.85561,0.53054,0.91593,0.77248,0.75174,0.79859,0.59803,0.8764,0.52093,0.91064,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,19196.8,0.8493,0.51919,0.91451,0.77534,0.75343,0.80112,0.60005,0.87562,0.51872,0.91005,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
