epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.368,1.79928,2.14365,1.74885,0.42322,0.41144,0.38105,0.17001,1.78462,1.95522,1.77898,0.000416589,0.000416589,0.000416589
2,795.424,1.83117,2.2339,1.77608,0.46546,0.39695,0.38089,0.16662,1.82936,2.01449,1.81774,0.000792009,0.000792009,0.000792009
3,1178.6,1.85235,2.25656,1.78888,0.45106,0.42654,0.3936,0.17818,1.79938,1.95911,1.79963,0.00112618,0.00112618,0.00112618
4,1558.1,1.8321,2.23466,1.7731,0.4677,0.41736,0.40191,0.18617,1.76965,1.95264,1.76664,0.00106437,0.00106437,0.00106437
5,1940.84,1.81297,2.19113,1.75951,0.47993,0.43076,0.41491,0.19067,1.75555,1.89073,1.73959,0.0010025,0.0010025,0.0010025
6,2323.25,1.80066,2.15664,1.74452,0.51252,0.4314,0.43564,0.19848,1.75224,1.86563,1.74582,0.000940625,0.000940625,0.000940625
7,2699.87,1.77558,2.11659,1.72696,0.49771,0.44623,0.43662,0.20438,1.72076,1.83072,1.73186,0.00087875,0.00087875,0.00087875
8,3079.78,1.76362,2.08514,1.71742,0.52413,0.4523,0.46174,0.21554,1.71623,1.80723,1.71668,0.000816875,0.000816875,0.000816875
9,3462.98,1.74761,2.04921,1.70112,0.52293,0.45715,0.46281,0.2199,1.70778,1.78178,1.71332,0.000755,0.000755,0.000755
10,3847.97,1.73418,2.01801,1.69484,0.53057,0.47634,0.47929,0.22964,1.69167,1.75971,1.70192,0.000693125,0.000693125,0.000693125
11,4223.33,1.73709,1.92292,1.73449,0.54707,0.4834,0.49132,0.23767,1.69128,1.72359,1.69584,0.00063125,0.00063125,0.00063125
12,4594.98,1.72924,1.88578,1.72202,0.54818,0.48964,0.49726,0.24027,1.68627,1.71366,1.68795,0.000569375,0.000569375,0.000569375
13,4967.35,1.70978,1.85448,1.70662,0.56378,0.48832,0.50549,0.24813,1.66918,1.68014,1.6701,0.0005075,0.0005075,0.0005075
14,5336.28,1.69751,1.81798,1.69799,0.55974,0.49019,0.51173,0.25247,1.66855,1.66399,1.67727,0.000445625,0.000445625,0.000445625
15,5710.15,1.67513,1.79184,1.68314,0.57934,0.5014,0.52284,0.26077,1.66088,1.64147,1.66936,0.00038375,0.00038375,0.00038375
16,6082.31,1.66654,1.767,1.67563,0.57873,0.51181,0.52559,0.26292,1.64791,1.6291,1.65562,0.000321875,0.000321875,0.000321875
17,6462.25,1.65298,1.73402,1.66763,0.57393,0.51094,0.5287,0.26326,1.65467,1.6303,1.66045,0.00026,0.00026,0.00026
18,6841.49,1.6414,1.7039,1.6543,0.57526,0.51788,0.53663,0.26809,1.65204,1.6036,1.65771,0.000198125,0.000198125,0.000198125
19,7211.6,1.62717,1.68065,1.64306,0.5786,0.52929,0.53988,0.27112,1.64497,1.59847,1.65159,0.00013625,0.00013625,0.00013625
20,7583.97,1.61725,1.6622,1.6384,0.58458,0.5264,0.5427,0.27281,1.6462,1.59215,1.65445,7.4375e-05,7.4375e-05,7.4375e-05
