epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26844,3.27844,2.74531,1.44235,0.06483,0.49404,0.08202,0.01733,2.81569,2.87009,1.14201,0.0005,0.0005,0.0005
2,12.979,2.47823,1.62712,1.06956,0.30369,0.14412,0.11819,0.03173,2.86369,2.58141,1.17049,0.00098634,0.00098634,0.00098634
3,18.6674,2.40599,1.57274,1.05133,0.25983,0.3039,0.1921,0.04741,2.78009,1.98369,1.10166,0.00143836,0.00143836,0.00143836
4,24.2558,2.35816,1.53529,1.04498,0.02038,0.15531,0.00388,0.00057,4.35058,2.05444,1.55536,0.001802,0.001802,0.001802
5,30.2164,2.34733,1.46375,1.03068,0.44552,0.46738,0.40527,0.09063,2.77715,1.55185,1.07513,0.001736,0.001736,0.001736
6,35.9015,2.32709,1.45069,1.03841,0.52123,0.48679,0.48646,0.17279,2.15064,1.47586,0.9769,0.00167,0.00167,0.00167
7,41.7122,2.28429,1.41947,1.02676,0.5329,0.51701,0.48879,0.14956,2.26258,1.46682,0.98461,0.001604,0.001604,0.001604
8,47.4352,2.22525,1.41744,1.00933,0.51984,0.44936,0.4547,0.12646,2.46827,1.6101,1.02405,0.001538,0.001538,0.001538
9,52.8717,2.18428,1.37947,0.99496,0.58783,0.52622,0.55695,0.20085,2.02954,1.40872,0.96392,0.001472,0.001472,0.001472
10,58.2544,2.16993,1.36381,1.00242,0.53342,0.47064,0.46804,0.10694,2.71618,1.45784,1.04593,0.001406,0.001406,0.001406
11,63.6116,2.28905,1.34355,1.00505,0.61113,0.53601,0.55212,0.17794,2.17828,1.42227,0.97121,0.00134,0.00134,0.00134
12,68.9569,2.15693,1.37812,0.98647,0.69664,0.57127,0.63969,0.21867,2.19753,1.31154,1.01278,0.001274,0.001274,0.001274
13,74.3507,2.11849,1.3349,0.99949,0.5707,0.55053,0.56109,0.20787,2.01595,1.36452,0.94596,0.001208,0.001208,0.001208
14,79.6736,2.17273,1.34881,0.99722,0.5326,0.54898,0.51407,0.16439,2.27087,1.42723,0.98944,0.001142,0.001142,0.001142
15,84.9816,2.12223,1.32408,0.9911,0.61685,0.53268,0.56782,0.17856,2.29079,1.41047,0.98241,0.001076,0.001076,0.001076
16,90.3075,2.09609,1.30789,0.98632,0.569,0.52053,0.5348,0.16962,2.2838,1.42309,0.9913,0.00101,0.00101,0.00101
17,95.5742,2.13955,1.3535,1.00124,0.58168,0.47953,0.50919,0.13801,2.60922,1.45062,1.03441,0.000944,0.000944,0.000944
18,100.934,2.07494,1.27014,0.96363,0.63799,0.51863,0.56676,0.18534,2.24811,1.41577,0.97951,0.000878,0.000878,0.000878
19,106.203,2.03612,1.29621,0.96934,0.59365,0.53984,0.5608,0.17713,2.3602,1.37077,0.98724,0.000812,0.000812,0.000812
20,111.539,2.04039,1.27333,0.97299,0.66415,0.61282,0.64445,0.24129,2.02144,1.30192,0.94759,0.000746,0.000746,0.000746
21,124.734,1.93223,1.31274,0.98891,0.65879,0.54181,0.60578,0.23323,1.925,1.37375,0.93999,0.00068,0.00068,0.00068
22,129.712,1.90164,1.29424,0.98519,0.68957,0.60163,0.65595,0.25823,1.87753,1.29497,0.92945,0.000614,0.000614,0.000614
23,134.7,1.95006,1.26382,0.98636,0.69205,0.56867,0.63051,0.24276,1.94316,1.32972,0.93623,0.000548,0.000548,0.000548
24,139.742,1.87291,1.28117,0.97786,0.649,0.559,0.60404,0.207,2.19685,1.31426,0.96603,0.000482,0.000482,0.000482
25,144.717,1.86884,1.24352,0.96437,0.66873,0.60695,0.63767,0.23684,2.01006,1.27927,0.94378,0.000416,0.000416,0.000416
26,149.695,1.89675,1.23722,0.97576,0.69061,0.58857,0.64494,0.25392,1.89847,1.30143,0.92924,0.00035,0.00035,0.00035
27,154.596,1.85845,1.23493,0.9671,0.68464,0.55851,0.614,0.22413,2.03901,1.36771,0.94739,0.000284,0.000284,0.000284
28,159.626,1.84402,1.23842,0.96989,0.68637,0.603,0.64917,0.25481,1.87598,1.28879,0.9252,0.000218,0.000218,0.000218
29,164.567,1.82612,1.24865,0.97089,0.71128,0.58807,0.64681,0.2534,1.89197,1.3153,0.92829,0.000152,0.000152,0.000152
30,169.52,1.79639,1.22099,0.96526,0.69824,0.59165,0.64572,0.25642,1.86001,1.30079,0.92494,8.6e-05,8.6e-05,8.6e-05
